Actual,Predicted,Stock,Inventory_Status
2230.5403190264515,3174.682041308621,2531.4827429364805,REORDER
47975.529933359714,48071.28883111558,24131.403313313647,REORDER
19037.37386684324,16728.696535496274,6055.6709364011695,REORDER
33296.07943585194,36156.66719163634,20938.92135160257,REORDER
15932.718068741866,16320.55423309458,8548.113280900005,REORDER
21004.6875153235,12604.0099842021,-2098.67253902035,STOCK OUT
20001.928792680155,18762.661794919837,8142.063899699599,REORDER
14417.266022972712,13261.109754825055,5474.39860926487,REORDER
1038.1871992868373,1471.525640454463,1169.101261394857,REORDER
1733.2406495558805,1747.965152402107,888.7070790472801,REORDER
33970.967053700646,14530.537565270357,-12175.160705795111,STOCK OUT
4937.140750004866,3572.754520282916,421.9910304195073,REORDER
2699.198085235453,3174.682041308621,2062.8249767274788,REORDER
14396.47951622632,16034.642830252571,9655.484729152535,REORDER
13617.239745882336,19699.50754682385,15932.021574353439,REORDER
84613.93720900198,75015.21099909177,27908.879289635675,REORDER
656.3597234715927,334.53796780040216,-154.55277177098947,STOCK OUT
10446.639482737382,11124.799354027433,6240.559548303767,REORDER
1868.7581073811052,2435.1079263717115,1783.9037821764623,REORDER
7272.3645386525495,6561.3408979021815,2569.646808200723,REORDER
3346.6265953090506,4155.180175762669,2886.143668334953,REORDER
48073.63903332497,57005.13526569435,37434.06386521655,REORDER
242.1482036773266,334.53796780040216,259.65874802327664,REORDER
44.37784301257324,334.53796780040216,457.42910868803,REORDER
6.4028171632855,334.53796780040216,495.40413453731776,REORDER
7275.127218484174,7543.552776752738,4040.2019466449337,REORDER
25783.69359509995,28857.11016625488,17501.97165428237,REORDER
414.09827361459907,334.53796780040216,87.70867808600417,REORDER
8021.026575557265,6561.3408979021815,1820.9847712960081,REORDER
31201.4715248848,30227.442237923166,14139.691831999946,REORDER
4837.548070924115,6561.3408979021815,5004.463275929158,REORDER
6742.653589414184,5507.327940894103,1518.3383219269717,REORDER
918.0412846384329,926.2544619536142,471.3404082919883,REORDER
10444.29892132753,10495.165999104745,5298.450077329588,REORDER
31814.49607005646,24344.244662220462,4701.870923274237,REORDER
29237.726705664503,30227.442237923166,16103.436651220243,REORDER
9613.025566571494,10495.165999104745,6129.723432085624,REORDER
18061.132726327247,17274.660192522675,7850.8575624567675,REORDER
34988.08697903805,37019.031579553484,20540.460390292174,REORDER
68973.53553918764,80871.60968242325,52333.87898444725,REORDER
7451.918166435959,6978.74666388385,3016.2018293898154,REORDER
33979.99837796789,30227.442237923166,11361.164978916859,REORDER
12239.97104048438,10495.165999104745,3502.7779581727373,REORDER
53304.9667707345,55885.921020371,30523.914759822008,REORDER
58265.24335546152,57005.13526569435,27242.459543080004,REORDER
12141.892111057456,13709.676386527903,8422.622468734397,REORDER
15014.979711088514,17934.48093343425,11886.741689062861,REORDER
3664.325922645726,3395.839084391265,1429.4327039411714,REORDER
27585.21020429458,27178.779086286126,13182.958425134606,REORDER
699.9988966333234,926.2544619536142,689.3827962970978,REORDER
651.3147465355615,448.84815606871086,21.9574875675047,REORDER
5079.232167407907,5076.630149537109,2535.7130568977573,REORDER
3661.107918889005,3572.754520282916,1698.0238615353687,REORDER
5603.555021889349,6561.3408979021815,4238.456324963924,REORDER
154.53540506523848,334.53796780040216,347.27154663536476,REORDER
4189.737751703854,3395.839084391265,904.0208748830437,REORDER
2.9686703478989562,334.53796780040216,498.83828135270426,REORDER
127.76717458475726,334.53796780040216,374.039777115846,REORDER
2766.119635569799,5827.718745330452,5975.45848242588,REORDER
16047.287650720878,16625.235658532787,8890.565837078302,REORDER
30805.92841294139,45228.061234895285,37036.16343940154,REORDER
30166.68196937168,33893.486203950255,20673.547336553707,REORDER
24207.658175267483,26752.929779667134,15921.73649423322,REORDER
127.7979855476331,334.53796780040216,374.0089661529701,REORDER
4140.950239563493,5827.718745330452,4600.627878432187,REORDER
16945.339765732566,10916.297232759847,-570.893916592795,STOCK OUT
4792.219748028277,4054.488980335219,1289.5137224745513,REORDER
222.15617280305798,334.53796780040216,279.65077889754525,REORDER
72088.09263301773,72243.00876603602,36276.42051603629,REORDER
33539.98265312639,39994.14039403286,26451.2279379229,REORDER
37122.436266913166,42717.83191551426,26954.311606358227,REORDER
13107.757835485107,13709.676386527903,7456.7567443067455,REORDER
412.44061695321926,1471.525640454463,1794.847843728475,REORDER
40264.23212597889,34524.11996956235,11521.947828364639,REORDER
1965.0171844102952,3242.07978279673,2898.1024897848,REORDER
29445.21074281227,26275.62834047009,9968.231767892867,REORDER
236.1174162790613,334.53796780040216,265.6895354215419,REORDER
5817.160984478653,5076.630149537109,1797.7842398270113,REORDER
1.0341877260035732,2656.2649694543547,3983.363266455529,REORDER
12558.232206620201,11651.709413882574,4919.331914203658,REORDER
15.491423848844233,334.53796780040216,486.315527851759,REORDER
33291.24539946008,36156.66719163634,20943.75538799443,REORDER
2468.3985569567812,3395.839084391265,2625.3600696301164,REORDER
27976.05505952341,27178.779086286126,12792.113569905778,REORDER
5999.262394035039,1876.2942693023492,-3184.8209900815145,STOCK OUT
3579.5305309901496,3395.839084391265,1514.228095596748,REORDER
3114.052320684865,3714.816907861006,2458.1730411066433,REORDER
4469.209594668523,4975.938954109659,2994.698836495965,REORDER
17.430102388307912,334.53796780040216,484.37684931229535,REORDER
3642.7050780423924,3395.839084391265,1451.0535485445052,REORDER
10268.371872341446,10943.732630807594,6147.227073869944,REORDER
19073.75632838744,20594.661815837077,11818.236395368174,REORDER
10288.583042565211,8697.563531735028,2757.7622550373308,REORDER
3297.2475807827714,3174.682041308621,1464.7754811801606,REORDER
4559.850263188464,3395.839084391265,533.9083633984337,REORDER
17899.414479937248,27821.20630566543,23832.394978560897,REORDER
7972.071443703059,6561.3408979021815,1869.9399031502135,REORDER
13821.543990546952,14081.970933567509,7301.412409804312,REORDER
4308.4984079879005,4321.674111097145,2174.0127586578174,REORDER
10022.600192676364,10495.165999104745,5720.148805980754,REORDER
16573.975203104324,16320.55423309458,7906.856146537546,REORDER
983.1444172429577,1471.525640454463,1224.1440434387364,REORDER
3086.8370256446733,3395.839084391265,2006.9216009422244,REORDER
2259.054646462333,1747.965152402107,362.8930821408276,REORDER
